Survived,Age,SibSp,Parch,Fare,female,male,family,alone,Embarked_C,Embarked_Q,Embarked_S,Pclass_1,Pclass_2,Pclass_3
0,2.0,1,0,7,0,1,1,0,0,0,1,0,0,1
1,3.0,1,0,71,1,0,1,0,1,0,0,1,0,0
1,2.0,0,0,7,1,0,0,1,0,0,1,0,0,1
1,3.0,1,0,53,1,0,1,0,0,0,1,1,0,0
0,3.0,0,0,8,0,1,0,1,0,0,1,0,0,1
0,2.0,0,0,8,0,1,0,1,0,1,0,0,0,1
0,5.0,0,0,51,0,1,0,1,0,0,1,1,0,0
0,0.0,3,1,21,0,1,4,0,0,0,1,0,0,1
1,2.0,0,2,11,1,0,2,0,0,0,1,0,0,1
1,1.0,1,0,30,1,0,1,0,1,0,0,0,1,0
1,0.0,1,1,16,1,0,2,0,0,0,1,0,0,1
1,5.0,0,0,26,1,0,0,1,0,0,1,1,0,0
0,1.0,0,0,8,0,1,0,1,0,0,1,0,0,1
0,3.0,1,5,31,0,1,6,0,0,0,1,0,0,1
0,1.0,0,0,7,1,0,0,1,0,0,1,0,0,1
1,5.0,0,0,16,1,0,0,1,0,0,1,0,1,0
0,0.0,4,1,29,0,1,5,0,0,1,0,0,0,1
1,2.0,0,0,13,0,1,0,1,0,0,1,0,1,0
0,3.0,1,0,18,1,0,1,0,0,0,1,0,0,1
1,2.0,0,0,7,1,0,0,1,1,0,0,0,0,1
0,3.0,0,0,26,0,1,0,1,0,0,1,0,1,0
1,3.0,0,0,13,0,1,0,1,0,0,1,0,1,0
1,1.0,0,0,8,1,0,0,1,0,1,0,0,0,1
1,2.0,0,0,35,0,1,0,1,0,0,1,1,0,0
0,0.0,3,1,21,1,0,4,0,0,0,1,0,0,1
1,3.0,1,5,31,1,0,6,0,0,0,1,0,0,1
0,2.0,0,0,7,0,1,0,1,1,0,0,0,0,1
0,1.0,3,2,263,0,1,5,0,0,0,1,1,0,0
1,2.0,0,0,7,1,0,0,1,0,1,0,0,0,1
0,2.0,0,0,7,0,1,0,1,0,0,1,0,0,1
0,3.0,0,0,27,0,1,0,1,1,0,0,1,0,0
1,2.0,1,0,146,1,0,1,0,1,0,0,1,0,0
1,2.0,0,0,7,1,0,0,1,0,1,0,0,0,1
0,7.0,0,0,10,0,1,0,1,0,0,1,0,1,0
0,2.0,1,0,82,0,1,1,0,1,0,0,1,0,0
0,4.0,1,0,52,0,1,1,0,0,0,1,1,0,0
1,2.0,0,0,7,0,1,0,1,1,0,0,0,0,1
0,2.0,0,0,8,0,1,0,1,0,0,1,0,0,1
0,1.0,2,0,18,1,0,2,0,0,0,1,0,0,1
1,1.0,1,0,11,1,0,1,0,1,0,0,0,0,1
0,3.0,1,0,9,1,0,1,0,0,0,1,0,0,1
